intersection,road,vehicle,difference
บางขุนนนท์,จรัญสนิทวงศ์,passenger_car,646.1666666666665
บางขุนนนท์,จรัญสนิทวงศ์,pickup_van,105.75
บางขุนนนท์,จรัญสนิทวงศ์,large_bus,-13.833333333333329
บางขุนนนท์,จรัญสนิทวงศ์,small_bus,-23.416666666666668
บางขุนนนท์,จรัญสนิทวงศ์,truck,9.5
บางขุนนนท์,จรัญสนิทวงศ์,tuk_tuk,9.5
หลักสี่,แจ้งวัฒนะ,passenger_car,-783.0
หลักสี่,แจ้งวัฒนะ,pickup_van,-188.91666666666669
หลักสี่,แจ้งวัฒนะ,large_bus,-22.416666666666664
หลักสี่,แจ้งวัฒนะ,small_bus,1.6666666666666667
หลักสี่,แจ้งวัฒนะ,truck,5.333333333333332
หลักสี่,แจ้งวัฒนะ,tuk_tuk,-0.75
