intersection_key,road_key,covid_period,survey_date_parsed,report_date,vph,has_assumed_zero,source_excel_row
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,2017-03-13,2017-03-13,1967.0,False,62
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,2019-02-08,2019-02-08,2234.0,False,3299
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,2020-08-28,2020-08-28,3770.0,False,5831
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,2021-09-13,2021-09-13,2338.0,False,7724
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,2023-08-28,2023-08-28,2893.0,False,11724
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,2024-01-11,2024-01-11,3049.0,False,12489
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,2026-03-19,2026-03-19,2560.5,False,16635
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,2017-06-19,2017-06-19,2962.0,False,512
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,2018-08-21,2018-08-21,3895.5,False,2483
หลักสี่,แจ้งวัฒนะ,โควิด,2021-05-20,2021-05-20,2121.5,False,6928
หลักสี่,แจ้งวัฒนะ,โควิด,2021-10-06,2021-10-06,2885.0,False,7864
หลักสี่,แจ้งวัฒนะ,หลังโควิด,2023-07-25,2023-07-25,2417.0,False,11553
หลักสี่,แจ้งวัฒนะ,หลังโควิด,2024-01-18,2024-01-18,2455.0,False,12531
หลักสี่,แจ้งวัฒนะ,หลังโควิด,2026-05-20,2026-05-20,2450.0,False,16953
หลักสี่,แจ้งวัฒนะ,โควิด,2020-06-08,2020-06-08,3829.0,False,17040
