intersection,road,period,vehicle,mean_vph,n
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,passenger_car,1520.5,2
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,pickup_van,426.25,2
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,large_bus,80.0,2
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,small_bus,27.25,2
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,truck,14.0,2
บางขุนนนท์,จรัญสนิทวงศ์,ก่อนโควิด,tuk_tuk,32.5,2
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,passenger_car,2334.0,2
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,pickup_van,549.5,2
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,large_bus,85.75,2
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,small_bus,15.0,2
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,truck,16.25,2
บางขุนนนท์,จรัญสนิทวงศ์,โควิด,tuk_tuk,53.5,2
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,passenger_car,2166.6666666666665,3
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,pickup_van,532.0,3
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,large_bus,66.16666666666667,3
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,small_bus,3.8333333333333335,3
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,truck,23.5,3
บางขุนนนท์,จรัญสนิทวงศ์,หลังโควิด,tuk_tuk,42.0,3
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,passenger_car,2755.0,2
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,pickup_van,610.25,2
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,large_bus,34.75,2
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,small_bus,0.0,2
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,truck,26.0,2
หลักสี่,แจ้งวัฒนะ,ก่อนโควิด,tuk_tuk,2.75,2
หลักสี่,แจ้งวัฒนะ,โควิด,passenger_car,2182.5,3
หลักสี่,แจ้งวัฒนะ,โควิด,pickup_van,717.6666666666666,3
หลักสี่,แจ้งวัฒนะ,โควิด,large_bus,11.333333333333334,3
หลักสี่,แจ้งวัฒนะ,โควิด,small_bus,3.3333333333333335,3
หลักสี่,แจ้งวัฒนะ,โควิด,truck,28.0,3
หลักสี่,แจ้งวัฒนะ,โควิด,tuk_tuk,2.3333333333333335,3
หลักสี่,แจ้งวัฒนะ,หลังโควิด,passenger_car,1972.0,3
หลักสี่,แจ้งวัฒนะ,หลังโควิด,pickup_van,421.3333333333333,3
หลักสี่,แจ้งวัฒนะ,หลังโควิด,large_bus,12.333333333333334,3
หลักสี่,แจ้งวัฒนะ,หลังโควิด,small_bus,1.6666666666666667,3
หลักสี่,แจ้งวัฒนะ,หลังโควิด,truck,31.333333333333332,3
หลักสี่,แจ้งวัฒนะ,หลังโควิด,tuk_tuk,2.0,3
