report_year,1,2,3,4,5,6,7,8,9,10,11,12
2017,0.0,0.0,162.0,111.0,165.0,141.0,171.0,165.0,84.0,138.0,165.0,120.0
2018,195.0,114.0,126.0,78.0,162.0,132.0,153.0,162.0,126.0,156.0,159.0,108.0
2019,168.0,165.0,195.0,135.0,162.0,81.0,132.0,183.0,150.0,159.0,144.0,150.0
2020,187.0,168.0,153.0,9.0,144.0,150.0,144.0,282.0,141.0,87.0,144.0,159.0
2021,138.0,141.0,180.0,132.0,129.0,177.0,243.0,255.0,186.0,240.0,168.0,147.0
2022,228.0,150.0,171.0,138.0,150.0,183.0,144.0,231.0,255.0,159.0,147.0,92.0
2023,162.0,138.0,162.0,111.0,159.0,180.0,147.0,180.0,180.0,171.0,198.0,135.0
2024,192.0,183.0,150.0,147.0,198.0,156.0,125.0,79.0,159.0,162.0,189.0,135.0
2025,189.0,165.0,183.0,171.0,156.0,117.0,226.0,197.0,159.0,177.0,129.0,193.0
2026,123.0,147.0,126.0,165.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
