code,intersection_key,road_key,ก่อนโควิด,โควิด,หลังโควิด
L01,จักรพรรดิพงษ์,นครสวรรค์,100.0,134.8737494044783,172.41543592186756
L02,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี,100.0,69.55722946904281,49.01708616571743
L03,หลักสี่,กำแพงเพชร6,100.0,102.19248291571755,60.4498861047836
L04,บางขุนนนท์,จรัญสนิทวงศ์,100.0,145.39395382051893,137.7291121161628
L05,บางยี่เรือ,เทอดไท,100.0,121.00954979536154,68.82673942701227
L06,หลักสี่,แจ้งวัฒนะ,100.0,84.14145096609552,71.45461173897193
L07,ห้วยขวาง,ประชาสงเคราะห์,100.0,157.6443057722309,75.70202808112325
L08,จักรพรรดิพงษ์,จักรพรรดิพงษ์,100.0,94.4418568545257,76.23039900636547
L09,วิสุทธิกษัตริย์,ประชาธิปไตย,100.0,66.80035650623886,78.05258467023172
L10,ประชาอุทิศ,ประชาอุทิศ,100.0,112.0661693156017,78.91663963671748
L11,ถนนตก,พระรามที่3,100.0,88.28643800917368,82.43308003012254
L12,พระราม9,พระราม9,100.0,110.0153356140144,117.45900672407691
