source_excel_row,survey_date_parsed,report_date,Lockdown,Not Lockdown,intersection,road,reference_flag
6711,2021-04-01,2021-04-01,1,0,บ้านม้า,ศรีบูรพา,0
6712,2021-04-01,2021-04-01,1,0,บ้านม้า,รามคำแหง,0
6713,2021-04-01,2021-04-01,1,0,บ้านม้า,ศรีบูรพา,0
6714,2021-04-01,2021-04-01,1,0,บ้านม้า,รามคำแหง,0
6715,2021-04-01,2021-04-01,1,0,บ้านม้า,ศรีบูรพา,0
6716,2021-04-01,2021-04-01,1,0,บ้านม้า,รามคำแหง,0
6717,2021-04-02,2021-04-02,1,0,สารสิน,วิทยุ,0
6718,2021-04-02,2021-04-02,1,0,สารสิน,สารสิน,0
6719,2021-04-02,2021-04-02,1,0,สารสิน,ซอยร่วมฤดี,0
6720,2021-04-02,2021-04-02,1,0,สารสิน,วิทยุ,0
6721,2021-04-02,2021-04-02,1,0,สารสิน,สารสิน,0
6722,2021-04-02,2021-04-02,1,0,สารสิน,ซอยร่วมฤดี,0
6723,2021-04-02,2021-04-02,1,0,สารสิน,วิทยุ,0
6724,2021-04-02,2021-04-02,1,0,สารสิน,สารสิน,0
6725,2021-04-02,2021-04-02,1,0,สารสิน,ซอยร่วมฤดี,0
6726,2021-04-05,2021-04-05,1,0,สาธุ-จันทน์,สาธุประดิษฐ์,0
6727,2021-04-05,2021-04-05,1,0,สาธุ-จันทน์,จันทน์,0
6728,2021-04-05,2021-04-05,1,0,สาธุ-จันทน์,สาธุประดิษฐ์,0
6729,2021-04-05,2021-04-05,1,0,สาธุ-จันทน์,จันทน์,0
6730,2021-04-05,2021-04-05,1,0,สาธุ-จันทน์,สาธุประดิษฐ์,0
6731,2021-04-05,2021-04-05,1,0,สาธุ-จันทน์,จันทน์,0
6732,2021-04-07,2021-04-07,1,0,อุณากรรณ,อุณากรรณ,0
6733,2021-04-07,2021-04-07,1,0,อุณากรรณ,เจริญกรุง,0
6734,2021-04-07,2021-04-07,1,0,อุณากรรณ,อุณากรรณ,0
6735,2021-04-07,2021-04-07,1,0,อุณากรรณ,เจริญกรุง,0
6736,2021-04-07,2021-04-07,1,0,อุณากรรณ,อุณากรรณ,0
6737,2021-04-07,2021-04-07,1,0,อุณากรรณ,เจริญกรุง,0
6738,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,ซอยเพชรเกษม55,0
6739,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,พุทธมณฑลสาย2,0
6740,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,เพชรเกษม,0
6741,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,ซอยเพชรเกษม55,0
6742,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,พุทธมณฑลสาย2,0
6743,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,เพชรเกษม,0
6744,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,ซอยเพชรเกษม55,0
6745,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,พุทธมณฑลสาย2,0
6746,2021-04-08,2021-04-08,1,0,พุทธมณฑลสาย2,เพชรเกษม,0
6747,2021-04-09,2021-04-09,1,0,พัฒนาการ,ศรีนครินทร์,0
6748,2021-04-09,2021-04-09,1,0,พัฒนาการ,พัฒนาการ,0
6749,2021-04-09,2021-04-09,1,0,พัฒนาการ,ศรีนครินทร์,0
6750,2021-04-09,2021-04-09,1,0,พัฒนาการ,พัฒนาการ,0
