source_excel_row,survey_date_parsed,intersection_key,road_key,time_key,Lockdown,vph
4958,2020-01-09,บ้านม้า,ศรีบูรพา,07:00-09:00,0,1387.0
4959,2020-01-09,บ้านม้า,รามคำแหง,07:00-09:00,0,1566.0
4960,2020-01-09,บ้านม้า,ศรีบูรพา,16:00-19:00,0,997.6666666666666
4961,2020-01-09,บ้านม้า,รามคำแหง,16:00-19:00,0,2243.6666666666665
4962,2020-01-09,บ้านม้า,ศรีบูรพา,09:00-16:00,0,1201.142857142857
4963,2020-01-09,บ้านม้า,รามคำแหง,09:00-16:00,0,2047.142857142857
5274,2020-03-26,ประดิพัทธ์,ประดิพัทธ์,07:00-09:00,1,1426.5
5275,2020-03-26,ประดิพัทธ์,ประดิพัทธ์,16:00-19:00,1,1140.6666666666667
5276,2020-03-26,ประดิพัทธ์,ประดิพัทธ์,09:00-16:00,1,1099.857142857143
5277,2020-03-27,บ้านแขก,ประชาธิปก,07:00-09:00,1,3451.5
5278,2020-03-27,บ้านแขก,อิสรภาพ,07:00-09:00,1,886.5
5279,2020-03-27,บ้านแขก,ประชาธิปก,16:00-19:00,1,3818.6666666666665
5280,2020-03-27,บ้านแขก,อิสรภาพ,16:00-19:00,1,902.6666666666666
5281,2020-03-27,บ้านแขก,ประชาธิปก,09:00-16:00,1,2867.4285714285716
5282,2020-03-27,บ้านแขก,อิสรภาพ,09:00-16:00,1,812.2857142857143
5512,2020-07-16,โรงกรองน้ำ,พระรามที่6,09:00-16:00,0,2165.285714285714
5513,2020-07-16,โรงกรองน้ำ,นครไชยศรี,09:00-16:00,0,894.4285714285714
5520,2020-07-20,ประดิพัทธ์,พระรามที่6,07:00-09:00,0,2404.0
5521,2020-07-20,ประดิพัทธ์,ประดิพัทธ์,07:00-09:00,0,1519.5
5522,2020-07-20,ประดิพัทธ์,พระรามที่6,16:00-19:00,0,2443.0
5523,2020-07-20,ประดิพัทธ์,ประดิพัทธ์,16:00-19:00,0,1342.3333333333333
