intersection_key,road_key,time_key,ก่อนโควิด,โควิด,หลังโควิด
กล้วยน้ำไท,พระรามที่4,07:00-09:00,100.0,114.83080110497237,79.28176795580112
กล้วยน้ำไท,พระรามที่4,09:00-16:00,100.0,94.95748103884166,24.77591358308435
กล้วยน้ำไท,พระรามที่4,16:00-19:00,100.0,124.86101039400532,17.331399564902103
การเรือน,ราชวิถี,07:00-09:00,100.0,39.054054054054056,90.0
การเรือน,ราชวิถี,09:00-16:00,100.0,112.26993865030674,97.54601226993864
การเรือน,ราชวิถี,16:00-19:00,100.0,42.82915360501568,102.7037617554859
การเรือน,ราชสีมา,07:00-09:00,100.0,150.58866813833703,101.98675496688743
การเรือน,ราชสีมา,09:00-16:00,100.0,120.5080736398231,81.31235215468476
การเรือน,ราชสีมา,16:00-19:00,100.0,78.97101774882049,86.67715120197708
กำแพงเพชร,พหลโยธิน,07:00-09:00,100.0,97.3109243697479,97.96918767507002
กำแพงเพชร,พหลโยธิน,09:00-16:00,100.0,83.70914618697745,91.04523829631506
กำแพงเพชร,พหลโยธิน,16:00-19:00,100.0,85.69804760631183,100.12035303557099
ขัตติยานี,พิชัย,07:00-09:00,100.0,91.35654261704683,43.157262905162064
ขัตติยานี,พิชัย,09:00-16:00,100.0,84.80463096960926,41.418234442836464
ขัตติยานี,พิชัย,16:00-19:00,100.0,121.12436115843272,47.78534923339012
ขัตติยานี,สุโขทัย,07:00-09:00,100.0,118.24836601307189,65.20261437908496
ขัตติยานี,สุโขทัย,09:00-16:00,100.0,119.00126194339282,83.4054443843519
ขัตติยานี,สุโขทัย,16:00-19:00,100.0,98.8139362490734,102.24857919446504
คลองตัน,พัฒนาการ,07:00-09:00,100.0,171.80368865270395,242.6695842450766
คลองตัน,พัฒนาการ,09:00-16:00,100.0,89.2424140933753,46.11829325473909
คลองตัน,พัฒนาการ,16:00-19:00,100.0,92.06780745242284,38.09371501679193
คลองตัน,รามคำแหง,07:00-09:00,100.0,83.96540252827678,159.6806387225549
คลองตัน,รามคำแหง,09:00-16:00,100.0,65.63204439049764,38.39084445985781
คลองตัน,สุขุมวิท71,07:00-09:00,100.0,111.9327731092437,77.69507803121249
คลองตัน,เพชรบุรี,07:00-09:00,100.0,104.90688737806681,217.82441619864028
คลองตัน,เพชรบุรี,09:00-16:00,100.0,111.23876342907258,72.79982459986844
คลองประปา,ประชาชื่น,07:00-09:00,100.0,81.48440584287407,43.1504145282274
คลองประปา,เลียบคลองประปา,07:00-09:00,100.0,184.29447852760737,234.47852760736194
คลองประปา,แจ้งวัฒนะ,07:00-09:00,100.0,92.10358056265984,101.39386189258313
คลองสาน,ลาดหญ้า,07:00-09:00,100.0,86.47642679900744,81.07940446650123
คลองสาน,ลาดหญ้า,09:00-16:00,100.0,104.68308437626162,88.2721033508276
คลองสาน,ลาดหญ้า,16:00-19:00,100.0,121.54105736782903,78.45894263217097
คลองสาน,สมเด็จเจ้าพระยา,07:00-09:00,100.0,56.949152542372886,122.07627118644069
คลองสาน,สมเด็จเจ้าพระยา,09:00-16:00,100.0,62.791601866251945,79.33514774494557
คลองสาน,สมเด็จเจ้าพระยา,16:00-19:00,100.0,78.34934991520633,87.62012436404748
คลองสาน,เจริญนคร,07:00-09:00,100.0,62.197686645636175,111.90851735015772
คลองสาน,เจริญนคร,09:00-16:00,100.0,66.52173913043478,68.20089955022489
คลองสาน,เจริญนคร,16:00-19:00,100.0,51.64737310774711,70.43633125556545
คลองเตย,พระรามที่4,07:00-09:00,100.0,121.71280915466963,83.55850867478775
คลองเตย,พระรามที่4,09:00-16:00,100.0,110.29010755946067,97.6291470989244
คลองเตย,สุนทรโกษา,07:00-09:00,100.0,99.54175152749491,74.87270875763747
คลองเตย,สุนทรโกษา,09:00-16:00,100.0,113.77437669711182,117.47716613181929
คอกวัว,ตะนาว,07:00-09:00,100.0,70.89090042877561,85.01667460695569
คอกวัว,ตะนาว,09:00-16:00,100.0,64.67311955875196,78.11604390850592
คอกวัว,ตะนาว,16:00-19:00,100.0,89.41767308382158,80.37785483678105
คอกวัว,ราชดำเนินกลาง,07:00-09:00,100.0,99.29702384863019,109.20438867354314
คอกวัว,ราชดำเนินกลาง,09:00-16:00,100.0,97.93207005173905,116.14029933571626
คอกวัว,ราชดำเนินกลาง,16:00-19:00,100.0,118.25314044714526,156.30130152827536
จอมทอง,จอมทอง,07:00-09:00,100.0,96.82955206515416,31.675392670157066
จอมทอง,จอมทอง,09:00-16:00,100.0,85.54972921860225,77.47786469526348
จอมทอง,จอมทอง,16:00-19:00,100.0,100.93864468864469,91.00274725274726
จอมทอง,วุฒากาศ,07:00-09:00,100.0,85.67674113009198,52.16819973718791
จอมทอง,วุฒากาศ,09:00-16:00,100.0,83.29281767955801,84.92817679558011
จอมทอง,วุฒากาศ,16:00-19:00,100.0,83.86075949367088,110.23206751054853
จักรพรรดิพงษ์,จักรพรรดิพงษ์,07:00-09:00,100.0,94.4418568545257,76.23039900636547
จักรพรรดิพงษ์,จักรพรรดิพงษ์,09:00-16:00,100.0,112.981447325594,36.21026364326787
จักรพรรดิพงษ์,จักรพรรดิพงษ์,16:00-19:00,100.0,146.73621231878502,24.484160466364965
จักรพรรดิพงษ์,นครสวรรค์,07:00-09:00,100.0,134.8737494044783,172.41543592186756
จักรพรรดิพงษ์,นครสวรรค์,09:00-16:00,100.0,121.15280043501902,46.47906470908102
จักรพรรดิพงษ์,นครสวรรค์,16:00-19:00,100.0,167.2534041846563,142.74327465958154
จันทน์-นราธิวาส,จันทน์,07:00-09:00,100.0,78.86982845610494,76.77093844601413
จันทน์-นราธิวาส,จันทน์,09:00-16:00,100.0,88.80602029160788,86.5282537122892
จันทน์-นราธิวาส,จันทน์,16:00-19:00,100.0,72.46872942725476,88.4265964450296
จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,07:00-09:00,100.0,121.55268022181147,105.49907578558226
จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,09:00-16:00,100.0,85.09090909090911,95.28787878787878
จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,16:00-19:00,100.0,62.74141876430207,92.44851258581235
จันทน์-เจริญราษฎร์,จันทน์,07:00-09:00,100.0,112.90795257759424,74.38390835220461
จันทน์-เจริญราษฎร์,เจริญราษฎร์,07:00-09:00,100.0,56.98015944374512,83.05460648564407
จุฬา12,พญาไท,07:00-09:00,100.0,55.2461139896373,100.21588946459413
จุฬา12,พญาไท,09:00-16:00,100.0,57.0699795942864,111.04309206577842
จุฬา12,พญาไท,16:00-19:00,100.0,51.87300743889479,89.39957492029755
ซังฮี้,ราชวิถี,07:00-09:00,100.0,87.11405166981726,81.97857592942658
ซังฮี้,ราชวิถี,09:00-16:00,100.0,105.48740416210296,93.47207009857613
ซังฮี้,ราชวิถี,16:00-19:00,100.0,123.47746090156393,75.62097516099355
ซังฮี้,สามเสน,07:00-09:00,100.0,80.90066225165563,76.17218543046359
ซังฮี้,สามเสน,09:00-16:00,100.0,86.68528526350151,128.87454209132784
ซังฮี้,สามเสน,16:00-19:00,100.0,66.77027027027027,85.8783783783784
ดาวคะนอง,จอมทอง,07:00-09:00,100.0,60.68685042928151,77.72254857659287
ดาวคะนอง,จอมทอง,09:00-16:00,100.0,55.34994776898971,76.77958513654679
ดาวคะนอง,จอมทอง,16:00-19:00,100.0,50.35540591096147,82.82828282828282
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,100.0,105.57011159631247,65.97768073750606
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,09:00-16:00,100.0,91.75373024515143,93.23994231731363
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,16:00-19:00,100.0,119.55894608628759,98.19219180716713
ด่วนนางลิ้นจี่,นางลิ้นจี่,07:00-09:00,100.0,100.06700167504188,124.321608040201
ด่วนนางลิ้นจี่,รัชดาภิเษก,07:00-09:00,100.0,107.44777475022707,103.05782621858917
ด่วนสาธุ,รัชดาภิเษก,07:00-09:00,100.0,85.62591567637962,94.88849096532638
ด่วนสาธุ,สาธุประดิษฐ์,07:00-09:00,100.0,91.88044245704872,91.9510473052483
