source_excel_row,survey_date_parsed,covid_period,intersection_key,road_key,time_key,period_hours,total,vph
11,2017-03-03,ก่อนโควิด,สุขุมวิท24,สุขุมวิท,07:00-09:00,2.0,4912.0,2456.0
23,2017-03-06,ก่อนโควิด,วัดสน,สุขสวัสดิ์,07:00-09:00,2.0,9513.0,4756.5
24,2017-03-06,ก่อนโควิด,วัดสน,สุขสวัสดิ์,09:00-16:00,7.0,36032.0,5147.428571428572
25,2017-03-06,ก่อนโควิด,วัดสน,สุขสวัสดิ์,16:00-19:00,3.0,16262.0,5420.666666666667
26,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,07:00-09:00,2.0,2196.0,1098.0
27,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,09:00-16:00,7.0,8836.0,1262.2857142857142
28,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,16:00-19:00,3.0,3681.0,1227.0
29,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,ทางด่วน,07:00-09:00,2.0,2610.0,1305.0
30,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,ทางด่วน,09:00-16:00,7.0,8146.0,1163.7142857142858
31,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,ทางด่วน,16:00-19:00,3.0,2912.0,970.6666666666666
32,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,พระรามที่4,07:00-09:00,2.0,9926.0,4963.0
33,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,พระรามที่4,09:00-16:00,7.0,37306.0,5329.428571428572
34,2017-03-07,ก่อนโควิด,ใต้ด่วนพระราม4,พระรามที่4,16:00-19:00,3.0,20851.0,6950.333333333333
47,2017-03-09,ก่อนโควิด,สะพานเหลือง,พระรามที่4,07:00-09:00,2.0,8906.0,4453.0
53,2017-03-09,ก่อนโควิด,สะพานเหลือง,บรรทัดทอง,07:00-09:00,2.0,1282.0,641.0
62,2017-03-13,ก่อนโควิด,บางขุนนนท์,จรัญสนิทวงศ์,07:00-09:00,2.0,3934.0,1967.0
65,2017-03-13,ก่อนโควิด,บางขุนนนท์,บางกอกน้อยตลิ่งชัน,07:00-09:00,2.0,1384.0,692.0
86,2017-03-16,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,07:00-09:00,2.0,1163.0,581.5
87,2017-03-16,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,09:00-16:00,7.0,5044.0,720.5714285714286
88,2017-03-16,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,16:00-19:00,3.0,2729.0,909.6666666666666
92,2017-03-16,ก่อนโควิด,เกษมราษฎร์,พระรามที่4,07:00-09:00,2.0,8118.0,4059.0
93,2017-03-16,ก่อนโควิด,เกษมราษฎร์,พระรามที่4,09:00-16:00,7.0,26124.0,3732.0
